X Z
1.853829968146666562e+00 8.732266635999998527e+00
5.595159277333332959e+00 4.817066666666666386e+00
9.324060168421052452e+00 2.891447376315789519e+00
1.308109659459459451e+01 2.150270279729729506e+00
1.679413621621621644e+01 1.782297283783783604e+00
2.050831394594594670e+01 1.567162154054054124e+00
2.421918600000000055e+01 1.435135132432432403e+00
2.798538977631578817e+01 1.458684207894736851e+00
3.172342930666666305e+01 1.399733338666666604e+00
3.542439106756756928e+01 1.331081079729729888e+00
3.913526314864864730e+01 1.245405401351351360e+00
4.287568914666666586e+01 1.173066664000000037e+00
4.663827190666666667e+01 1.093199998400000039e+00
5.035802493150684711e+01 9.561643867123287288e-01
5.404976393333333107e+01 8.406666659999999514e-01
5.778193555263157322e+01 7.223684205263157798e-01
6.152903651351351755e+01 6.178378377027027302e-01
6.524868731081080853e+01 5.710810755405405503e-01
6.895955947297296973e+01 5.060810779729729703e-01
7.269874406666667710e+01 3.891999988000000021e-01
7.643725566216215839e+01 2.428378379432432344e-01
8.018075451948051580e+01 1.359740263636363689e-01
8.390094402739725865e+01 9.383561648767123342e-02
8.761414817333333360e+01 5.586666738666667270e-02
9.135333283783783997e+01 -2.256756761891891977e-02
9.506420490540540413e+01 -1.310810820270270211e-02
9.878385566216215352e+01 -1.486486799999999810e-03
1.025309563157894672e+02 3.026316147368421534e-03
1.062631281333333391e+02 -4.773333297066666842e-02
1.099802821621621689e+02 1.770270250270270310e-02
1.136994724324324295e+02 2.689189171891891855e-02
1.174372027999999943e+02 -1.906666674666666547e-02
1.211776291891892043e+02 -7.540540576756757374e-02
1.248885012162162127e+02 -1.021621629864864905e-01
1.286143214473684111e+02 -1.009210530368421094e-01
1.323521527999999989e+02 -1.288000008800000151e-01
1.360937059459459419e+02 -1.777027013405405587e-01
1.398045782432432418e+02 -2.614864874324324129e-01
1.435436583999999982e+02 -3.109333325333333287e-01
1.472773705405405451e+02 -3.587837835135134767e-01
1.509888317105263127e+02 -4.223684189473684292e-01
1.547206551351351322e+02 -4.255405383783783524e-01
1.584590622666666491e+02 -5.001333330666666299e-01
1.621738434246575480e+02 -5.897260247945206313e-01
1.658913533333333419e+02 -6.715999981333333757e-01
1.696288743243243289e+02 -7.106756778378379158e-01
1.733633427631579025e+02 -8.461842121052631782e-01
1.770716991891891894e+02 -9.816216229729729514e-01
1.808067575999999974e+02 -1.184666669599999889e+00
1.845444913513513541e+02 -1.456891891891891833e+00
1.882821168000000114e+02 -1.562359998666666749e+00
1.920226479729729760e+02 -1.707189178378378358e+00
1.957565685333333363e+02 -1.688093341333333441e+00
1.994683294666666598e+02 -1.690933333333333399e+00
2.031970669333333319e+02 -1.607906665333333374e+00
2.069387248648648665e+02 -1.740810813513513633e+00
2.106495971621621663e+02 -1.796621620270270281e+00
2.143687875675675514e+02 -1.870540535135135185e+00
2.180796597297297126e+02 -1.953783778378378466e+00
2.218212177631579038e+02 -2.141052627631578886e+00
2.255500552000000027e+02 -2.331333315999999822e+00
2.292848648648648862e+02 -2.592162175675675417e+00
2.329957370270270189e+02 -2.868918909459459599e+00
2.367362674666666749e+02 -3.046399992000000001e+00
2.404738931081081148e+02 -3.049729724324324209e+00
2.442116273333333538e+02 -2.604399993333333274e+00
2.479229342666666582e+02 -2.346399991999999823e+00
2.516516716000000145e+02 -2.156533328000000083e+00
2.553895101351351400e+02 -2.113783787837837824e+00
2.591270310666666887e+02 -2.401199992000000005e+00
2.628445413698630091e+02 -2.564931513698630372e+00
2.665697910526316150e+02 -2.448552621052631384e+00
2.703006518666666693e+02 -2.419999999999999929e+00
2.740419808000000330e+02 -2.532133336000000234e+00
2.777613102739725832e+02 -2.613561646575342401e+00
2.814747269333333293e+02 -2.747200006666666638e+00
2.852138064864864759e+02 -2.939459475675675559e+00
2.889246785135135269e+02 -3.161351340540540455e+00
2.926536036842105091e+02 -3.474342097368420923e+00
2.963901308000000085e+02 -3.603866673333333548e+00
3.001298836486486152e+02 -3.595270272972972858e+00
3.038407558108107764e+02 -3.692567566216216068e+00
3.075811815999999794e+02 -3.658666672000000286e+00
3.113189118918919007e+02 -3.702972967567567775e+00
3.150517027999999868e+02 -3.835200005333333717e+00
3.187552566666666962e+02 -3.971066716000000163e+00
3.224715794594594627e+02 -3.934729735135134909e+00
3.262093623999999750e+02 -3.939466700000000543e+00
3.299541802702702853e+02 -4.009864864864865375e+00
3.336650520270270022e+02 -4.066351347297297636e+00
3.374042366666666339e+02 -4.149600023999999721e+00
3.411078766216216422e+02 -4.177297317567567170e+00
3.448203331578947655e+02 -4.241184201315789437e+00
3.485811291891891983e+02 -4.424054036486486652e+00
3.523196409333333463e+02 -4.438399979999999800e+00
3.560336326027397149e+02 -4.596849299999999694e+00
3.597447400000000357e+02 -4.601866639999999897e+00
3.635063070666666931e+02 -4.605600024000000126e+00
3.672364493421052885e+02 -4.678421055263157768e+00
3.709749024324324296e+02 -4.871756736486486439e+00
