ID X CRN Error
CB02 28.2385118824 4483.793708 535.7527009
CB03 46.0430751371 4520.683723 588.9399236
CB04 66.0904917382 6594.13861 590.810097
CB05 82.9837536377 9242.29814 626.8352105
CB06 102.0415458467 10063.24779 666.3848292
CB07 116.4768239508 11880.15901 639.2282893
CB08 134.5593095537 12800.24993 657.7046512
CB09 144.6449603816 11058.27944 736.8051256
CB10a 92.6395682146 9132.875328 636.3893221
CB10b 91.3623751994 8112.618845 745.394895
CB11 146.4228504344 12843.06672 659.8888103
CB21 180.7544199203 14817.70393 1106.579471
CB22 170.3872673051 13304.14896 1033.597446
CB23 161.2349405009 14550.69695 1560.663474
CB24 154.4678559813 9728.558435 1233.665156
CB25 219.3491034214 7269.599271 1079.849201
CB26 211.5945179149 10383.27744 1206.086921
CB27a 203.5570352499 10025.81022 823.2498648
CB27b 203.1767651632 7766.448915 698.1467479
CB28 196.5170031977 9266.164732 799.9389271
