ID X CRN ERROR
DB01 10.70436 11732.53523 510.0239852
DB02 30.50399 7568.857899 817.759846
DB03 50.09636 17915.49202 673.7978709
DB04 69.7519 17405.37685 548.5508097
DB05 70.21581 22045.21246 599.6114937
DB06 88.18611 18565.65306 550.1690756
DB07 107.396 16299.63379 487.2830091
DB08 121.3949 13946.18369 503.080537
DB09 139.3259 9926.604083 455.7055202
DB10 152.3504 12657.23479 443.9728506
DB10-2 152.3504 12121.98093 506.1895175
DB11 162.7484 11978.03609 430.7505153
DB12 176.7484 11010.23439 477.4441743
DB12-2 176.7484 11328.96913 470.2650214
