Time ScalingFactor
0.000000000000000000e+00 9.098071319999999629e-01
1.000000000000000000e+01 8.896825440000000196e-01
2.000000000000000000e+01 8.418033259999999629e-01
3.000000000000000000e+01 9.221282800000000224e-01
4.000000000000000000e+01 8.946330689999999475e-01
5.000000000000000000e+01 8.689268110000000211e-01
6.000000000000000000e+01 9.423120959999999879e-01
1.600000000000000000e+02 9.958425440000000517e-01
2.600000000000000000e+02 1.125533918999999994e+00
3.600000000000000000e+02 1.071805177999999970e+00
4.600000000000000000e+02 1.132422489000000088e+00
5.600000000000000000e+02 1.022492079999999914e+00
6.600000000000000000e+02 9.818919640000000060e-01
7.600000000000000000e+02 9.557261910000000027e-01
8.600000000000000000e+02 9.166181679999999554e-01
9.600000000000000000e+02 9.649098189999999464e-01
1.060000000000000000e+03 9.420455300000000198e-01
1.160000000000000000e+03 9.385385800000000112e-01
1.260000000000000000e+03 9.872805970000000375e-01
1.360000000000000000e+03 1.000928824999999911e+00
1.460000000000000000e+03 9.646155659999999799e-01
1.560000000000000000e+03 9.935945560000000176e-01
1.660000000000000000e+03 9.408690530000000107e-01
1.760000000000000000e+03 9.381634920000000433e-01
1.860000000000000000e+03 9.565292859999999786e-01
1.960000000000000000e+03 9.607617059999999931e-01
2.060000000000000000e+03 9.286810800000000476e-01
2.160000000000000000e+03 9.448411989999999649e-01
2.260000000000000000e+03 9.430546520000000488e-01
2.360000000000000000e+03 9.679398820000000292e-01
2.460000000000000000e+03 9.568330689999999805e-01
2.560000000000000000e+03 9.358691289999999663e-01
2.660000000000000000e+03 1.014375256999999975e+00
2.760000000000000000e+03 1.031231819999999910e+00
2.860000000000000000e+03 9.410632780000000031e-01
2.960000000000000000e+03 9.389200439999999537e-01
3.060000000000000000e+03 9.403889530000000274e-01
3.160000000000000000e+03 9.634701249999999551e-01
3.260000000000000000e+03 9.770021410000000461e-01
3.360000000000000000e+03 1.013165577000000095e+00
3.460000000000000000e+03 9.806876479999999674e-01
3.560000000000000000e+03 9.720094049999999930e-01
3.660000000000000000e+03 9.831880739999999674e-01
3.760000000000000000e+03 9.375764009999999482e-01
3.860000000000000000e+03 9.844731230000000055e-01
3.960000000000000000e+03 9.637768340000000267e-01
4.060000000000000000e+03 9.651390269999999827e-01
4.160000000000000000e+03 9.540276250000000458e-01
4.260000000000000000e+03 9.701427299999999532e-01
4.360000000000000000e+03 9.691148809999999836e-01
4.460000000000000000e+03 9.596432240000000169e-01
4.560000000000000000e+03 9.553629219999999478e-01
4.660000000000000000e+03 9.438324270000000293e-01
4.760000000000000000e+03 9.692238469999999717e-01
4.860000000000000000e+03 9.940240040000000166e-01
4.960000000000000000e+03 9.504842190000000191e-01
5.060000000000000000e+03 9.472782360000000512e-01
5.160000000000000000e+03 9.410641699999999776e-01
5.260000000000000000e+03 1.037673150999999905e+00
5.360000000000000000e+03 9.712726170000000048e-01
5.460000000000000000e+03 1.022744442999999892e+00
5.560000000000000000e+03 1.033764343999999946e+00
5.660000000000000000e+03 1.003985896000000100e+00
5.760000000000000000e+03 9.978078929999999458e-01
5.860000000000000000e+03 1.045089315000000019e+00
5.960000000000000000e+03 1.048383121999999945e+00
6.060000000000000000e+03 9.948872309999999830e-01
6.160000000000000000e+03 1.051950654000000096e+00
6.260000000000000000e+03 1.047240422000000004e+00
6.360000000000000000e+03 1.003865589999999974e+00
6.460000000000000000e+03 9.996774069999999623e-01
6.560000000000000000e+03 9.663041890000000356e-01
6.660000000000000000e+03 9.973669229999999608e-01
6.760000000000000000e+03 1.009114537999999950e+00
6.860000000000000000e+03 1.002815929999999911e+00
6.960000000000000000e+03 1.038855544000000020e+00
7.060000000000000000e+03 1.011487116999999936e+00
7.160000000000000000e+03 1.044470988999999905e+00
7.260000000000000000e+03 1.068547423999999912e+00
7.360000000000000000e+03 1.048395839999999968e+00
7.460000000000000000e+03 1.067197592000000084e+00
7.560000000000000000e+03 1.055764686999999924e+00
7.660000000000000000e+03 1.041827695999999914e+00
7.760000000000000000e+03 1.016092164000000020e+00
7.860000000000000000e+03 1.000024591999999934e+00
7.960000000000000000e+03 1.034335597000000107e+00
8.060000000000000000e+03 9.787252499999999911e-01
8.160000000000000000e+03 1.024918583000000050e+00
8.260000000000000000e+03 9.701879270000000055e-01
8.360000000000000000e+03 1.034603278999999931e+00
8.460000000000000000e+03 9.580565349999999869e-01
8.560000000000000000e+03 9.796702569999999888e-01
8.660000000000000000e+03 9.321957239999999478e-01
8.760000000000000000e+03 9.378742930000000255e-01
8.860000000000000000e+03 9.392825580000000452e-01
8.960000000000000000e+03 1.016373916999999905e+00
9.060000000000000000e+03 9.733981830000000279e-01
9.160000000000000000e+03 9.523574339999999472e-01
9.260000000000000000e+03 1.002040623999999935e+00
9.360000000000000000e+03 9.886104799999999582e-01
9.460000000000000000e+03 1.033618058999999922e+00
9.560000000000000000e+03 9.783549710000000177e-01
9.660000000000000000e+03 9.429836619999999447e-01
9.760000000000000000e+03 9.354787629999999909e-01
9.860000000000000000e+03 9.645501229999999815e-01
9.960000000000000000e+03 9.413811800000000396e-01
1.006000000000000000e+04 9.742343369999999503e-01
1.016000000000000000e+04 1.047860899000000012e+00
1.026000000000000000e+04 9.758612690000000311e-01
1.036000000000000000e+04 9.552041599999999688e-01
1.046000000000000000e+04 9.736344500000000401e-01
1.056000000000000000e+04 9.731939330000000110e-01
1.066000000000000000e+04 9.719187639999999906e-01
1.076000000000000000e+04 9.458699809999999708e-01
1.086000000000000000e+04 9.161522970000000043e-01
1.096000000000000000e+04 9.266619990000000140e-01
1.106000000000000000e+04 1.028319282000000001e+00
1.116000000000000000e+04 1.044950800000000068e+00
1.126000000000000000e+04 9.675553590000000037e-01
1.136000000000000000e+04 9.147127699999999528e-01
1.146000000000000000e+04 9.907284769999999963e-01
1.156000000000000000e+04 9.922823870000000435e-01
1.166000000000000000e+04 9.938290570000000157e-01
1.176000000000000000e+04 9.953686739999999533e-01
1.186000000000000000e+04 9.969014250000000077e-01
1.196000000000000000e+04 9.984274950000000537e-01
1.206000000000000000e+04 9.999470710000000206e-01
