X, N
0 0
5 50.0779
10 133.738
15 238.941
20 362.472
25 498.565
30 630.512
35 754.402
40 870.054
45 979.035
50 1079.88
55 1175.39
60 1262.77
65 1346.02
70 1421.38
75 1493.82
80 1558.49
85 1621.1
90 1676.08
95 1729.96
100 1776.46
105 1822.54
110 1861.17
115 1899.99
120 1931.62
125 1964.12
130 1989.58
135 2016.3
140 2036.12
145 2057.73
150 2072.7
155 2089.81
160 2100.3
165 2113.25
170 2119.84
175 2129.24
180 2132.37
185 2138.42
190 2138.39
195 2141.55
200 2138.83
205 2139.37
210 2134.09
215 2132.24
220 2124.81
225 2120.9
230 2111.44
235 2105.54
240 2094.34
245 2086.77
250 2073.94
255 2064.71
260 2050.45
265 2039.83
270 2024.21
275 2012.18
280 1995.4
285 1982.13
290 1964.15
295 1949.7
300 1930.67
305 1915.02
310 1894.96
315 1878.17
320 1857.05
325 1839.08
330 1816.86
335 1797.61
340 1774.1
345 1753.17
350 1727.95
355 1705.3
360 1678.71
365 1654.76
370 1627.23
375 1602.36
380 1574.22
385 1548.74
390 1520.29
395 1494.47
400 1465.97
405 1440.05
410 1411.7
415 1385.85
420 1357.83
425 1332.23
430 1304.69
435 1279.46
440 1252.5
445 1227.76
450 1201.49
455 1177.32
460 1151.8
465 1128.27
470 1103.58
475 1080.74
480 1056.9
485 1034.8
490 1011.85
495 990.513
500 968.47
505 947.916
510 926.79
515 907.03
520 886.823
525 867.861
530 848.568
535 830.401
540 812.014
545 794.635
550 777.138
555 760.536
560 743.912
565 728.072
570 712.299
575 697.204
580 682.259
585 667.889
590 653.747
595 640.081
600 626.716
605 613.731
610 601.115
615 588.789
620 576.894
625 565.201
630 554
635 542.916
640 532.38
645 521.881
650 511.981
655 502.043
660 492.751
665 483.349
670 474.638
675 465.748
680 457.592
685 449.191
690 441.562
695 433.627
700 426.5
705 419.008
710 412.358
715 405.288
720 399.092
725 392.423
730 386.656
735 380.367
740 375.008
745 369.08
750 364.107
755 358.521
760 353.913
765 348.651
770 344.389
775 339.434
780 335.498
785 330.833
790 327.206
795 322.815
800 319.48
805 315.348
810 312.288
815 308.4
820 305.599
825 301.942
830 299.386
835 295.947
840 293.621
845 290.387
850 288.279
855 285.238
860 283.334
865 280.476
870 278.764
875 276.077
880 274.546
885 272.021
890 270.659
895 268.287
900 267.085
905 264.855
910 263.803
915 261.708
920 260.796
925 258.828
930 258.048
935 256.199
940 255.543
945 253.805
950 253.266
955 251.632
960 251.202
965 249.667
970 249.339
975 247.896
980 247.663
985 246.307
990 246.164
995 244.889
1000 244.83
