X, N
0 0
5 38.725
10 87.0687
15 154.373
20 242.254
25 344.841
30 462.708
35 592.225
40 716.973
45 834.102
50 943.079
55 1045.87
60 1140.51
65 1230.27
70 1312.13
75 1390.38
80 1460.85
85 1528.65
90 1588.82
95 1647.34
100 1698.47
105 1748.7
110 1791.47
115 1834
120 1869.33
125 1905.14
130 1933.91
135 1963.59
140 1986.36
145 2010.62
150 2028.23
155 2047.7
160 2060.55
165 2075.62
170 2084.31
175 2095.6
180 2100.61
185 2108.35
190 2110
195 2114.67
200 2113.46
205 2115.34
210 2111.4
215 2110.76
220 2104.54
225 2101.7
230 2093.31
235 2088.38
240 2078.13
245 2071.42
250 2059.44
255 2050.98
260 2037.49
265 2027.55
270 2012.62
275 2001.21
280 1985.04
285 1972.31
290 1954.88
295 1940.92
300 1922.38
305 1907.16
310 1887.54
315 1871.14
320 1850.41
325 1832.79
330 1810.92
335 1791.98
340 1768.78
345 1748.14
350 1723.19
355 1700.79
360 1674.45
365 1650.73
370 1623.41
375 1598.74
380 1570.8
385 1545.5
390 1517.23
395 1491.57
400 1463.23
405 1437.44
410 1409.24
415 1383.52
420 1355.63
425 1330.14
430 1302.71
435 1277.58
440 1250.73
445 1226.08
450 1199.89
455 1175.8
460 1150.37
465 1126.91
470 1102.29
475 1079.52
480 1055.74
485 1033.7
490 1010.81
495 989.521
500 967.529
505 947.021
510 925.941
515 906.223
520 886.057
525 867.132
530 847.876
535 829.742
540 811.388
545 794.039
550 776.571
555 759.996
560 743.398
565 727.581
570 711.832
575 696.758
580 681.834
585 667.483
590 653.36
595 639.711
600 626.363
605 613.393
610 600.792
615 588.479
620 576.598
625 564.917
630 553.728
635 542.655
640 532.129
645 521.64
650 511.75
655 501.82
660 492.537
665 483.143
670 474.44
675 465.557
680 457.408
685 449.013
690 441.39
695 433.461
700 426.339
705 418.853
710 412.208
715 405.142
720 398.95
725 392.285
730 386.522
735 380.237
740 374.882
745 368.957
750 363.987
755 358.404
760 353.799
765 348.54
770 344.28
775 339.327
780 335.394
785 330.731
790 327.107
795 322.717
800 319.384
805 315.253
810 312.195
815 308.309
820 305.51
825 301.854
830 299.3
835 295.862
840 293.537
845 290.304
850 288.197
855 285.158
860 283.254
865 280.397
870 278.686
875 276
880 274.47
885 271.945
890 270.585
895 268.213
900 267.011
905 264.782
910 263.731
915 261.636
920 260.726
925 258.757
930 257.979
935 256.129
940 255.475
945 253.737
950 253.198
955 251.565
960 251.135
965 249.6
970 249.273
975 247.83
980 247.598
985 246.242
990 246.099
995 244.825
1000 244.766
