X, N
0 0
5 42.7052
10 104.648
15 173.774
20 248.108
25 324.214
30 398.048
35 466.585
40 531.548
45 592.296
50 649.178
55 702.904
60 752.974
65 800.002
70 843.927
75 885.868
80 924.101
85 961.122
90 994.792
95 1027.09
100 1056.56
105 1085.36
110 1110.43
115 1135.58
120 1157.5
125 1179.11
130 1197.92
135 1216.94
140 1232.39
145 1248.85
150 1262.29
155 1276.15
160 1287.29
165 1299.37
170 1308.07
175 1318.33
180 1325.55
185 1333.63
190 1339.11
195 1346
200 1349.65
205 1355.06
210 1357.49
215 1361.11
220 1362.25
225 1364.99
230 1364.49
235 1365.95
240 1364.61
245 1364.64
250 1362.11
255 1361.25
260 1357.37
265 1355.5
270 1350.82
275 1347.55
280 1341.89
285 1337.84
290 1330.82
295 1325.75
300 1318.01
305 1322.35
310 1326.35
315 1333.7
320 1339.96
325 1348.96
330 1354.08
335 1359.3
340 1360.22
345 1361.18
350 1357.78
355 1354.68
360 1347.6
365 1341.12
370 1331.02
375 1321.76
380 1309.2
385 1297.67
390 1283.14
395 1269.8
400 1253.73
405 1238.95
410 1221.72
415 1205.83
420 1187.75
425 1171.05
430 1152.38
435 1135.11
440 1116.08
445 1098.45
450 1079.27
455 1061.45
460 1042.27
465 1024.42
470 1005.38
475 987.619
480 968.841
485 951.274
490 932.847
495 915.563
500 897.562
505 880.63
510 863.117
515 846.594
520 829.617
525 813.548
530 797.142
535 781.562
540 765.754
545 750.687
550 735.496
555 720.961
560 706.398
565 692.405
570 678.475
575 665.031
580 651.733
585 638.84
590 626.171
595 613.824
600 601.776
605 589.971
610 578.532
615 567.261
620 556.419
625 545.669
630 535.409
635 525.169
640 515.474
645 505.73
650 496.582
655 487.319
660 478.701
665 469.903
670 461.794
675 453.444
680 445.826
685 437.909
690 430.762
695 423.259
700 416.564
705 409.459
710 403.195
715 396.472
720 390.621
725 384.262
730 378.804
735 372.793
740 367.711
745 362.032
750 357.307
755 351.944
760 347.559
765 342.497
770 338.434
775 333.658
780 329.902
785 325.397
790 321.931
795 317.683
800 314.492
805 310.489
810 307.558
815 303.787
820 301.102
825 297.549
830 295.098
835 291.752
840 289.52
845 286.371
850 284.347
855 281.382
860 279.554
865 276.764
870 275.12
875 272.496
880 271.026
885 268.557
890 267.251
895 264.929
900 263.777
905 261.593
910 260.586
915 258.533
920 257.663
925 255.731
930 254.989
935 253.174
940 252.552
945 250.845
950 250.337
955 248.732
960 248.33
965 246.82
970 246.518
975 245.099
980 244.889
985 243.555
990 243.433
995 242.178
1000 242.138
