X, N
0 0
5 38.725
10 87.0687
15 133.777
20 177.875
25 216.478
30 257.413
35 299.142
40 345.487
45 394.982
50 450.741
55 508.363
60 571.039
65 635.286
70 703.902
75 776.219
80 854.408
85 941.141
90 1022.06
95 1108.67
100 1187.01
105 1267.25
110 1334.38
115 1403.73
120 1460.82
125 1520.6
130 1568.82
135 1619.91
140 1660.07
145 1703.46
150 1736.6
155 1773.17
160 1799.9
165 1830.25
170 1851.35
175 1876.29
180 1892.39
185 1912.33
190 1923.88
195 1939.45
200 1947.09
205 1958.72
210 1962.69
215 1970.76
220 1971.6
225 1976.55
230 1974.47
235 1976.49
240 1971.88
245 1971.39
250 1964.45
255 1961.55
260 1952.56
265 1947.59
270 1936.68
275 1929.7
280 1917.13
285 1908.37
290 1894.15
295 1883.73
300 1868.06
305 1856.01
310 1838.96
315 1825.39
320 1806.95
325 1791.86
330 1772.04
335 1755.36
340 1733.99
345 1715.37
350 1692.05
355 1671.46
360 1646.58
365 1624.47
370 1598.46
375 1575.23
380 1548.46
385 1524.45
390 1497.22
395 1472.71
400 1445.3
405 1420.55
410 1393.17
415 1368.38
420 1341.23
425 1316.57
430 1289.8
435 1265.41
440 1239.14
445 1215.15
450 1189.5
455 1166
460 1141.04
465 1118.11
470 1093.9
475 1071.6
480 1048.21
485 1026.58
490 1004.03
495 983.12
500 961.43
505 941.259
510 920.448
515 901.031
520 881.105
525 862.449
530 843.408
535 825.516
540 807.353
545 790.22
550 772.923
555 756.541
560 740.095
565 724.452
570 708.839
575 693.92
580 679.118
585 664.906
590 650.891
595 637.366
600 624.115
605 611.257
610 598.742
615 586.529
620 574.725
625 563.134
630 552.013
635 541.021
640 530.556
645 520.139
650 510.303
655 500.439
660 491.204
665 481.868
670 473.208
675 464.378
680 456.267
685 447.919
690 440.331
695 432.444
700 425.353
705 417.905
710 411.287
715 404.256
720 398.088
725 391.454
730 385.712
735 379.455
740 374.118
745 368.219
750 363.266
755 357.706
760 353.116
765 347.878
770 343.631
775 338.697
780 334.776
785 330.13
790 326.516
795 322.142
800 318.818
805 314.702
810 311.651
815 307.778
820 304.986
825 301.343
830 298.794
835 295.367
840 293.048
845 289.825
850 287.722
855 284.692
860 282.793
865 279.945
870 278.236
875 275.559
880 274.031
885 271.515
890 270.156
895 267.791
900 266.592
905 264.37
910 263.32
915 261.231
920 260.322
925 258.36
930 257.582
935 255.738
940 255.084
945 253.352
950 252.813
955 251.185
960 250.756
965 249.226
970 248.898
975 247.46
980 247.228
985 245.877
990 245.734
995 244.463
1000 244.404
