X, N
0 0
5 92.0469
10 215.812
15 351.589
20 491.6
25 462.413
30 593.312
35 724.541
40 855.947
45 987.457
50 1119.03
55 1250.65
60 1382.29
65 1052.39
70 1172.85
75 1293.32
80 1413.8
85 1534.28
90 1654.77
95 1775.26
100 1895.75
105 1378.78
110 1488.14
115 1597.5
120 1706.87
125 1816.23
130 1925.59
135 2034.96
140 2144.32
145 1528.49
150 1626.39
155 1724.3
160 1822.2
165 1920.1
170 2018.01
175 2115.91
180 2213.81
185 1560.68
190 1646.41
195 1732.15
200 1817.88
205 1903.62
210 1989.35
215 2075.08
220 2160.82
225 1511.72
230 1583.33
235 1654.94
240 1726.55
245 1798.16
250 1869.78
255 1941.39
260 2013
265 1399.13
270 1454.42
275 1509.7
280 1564.99
285 1620.27
290 1675.56
295 1730.84
300 1786.13
305 1238.71
310 1281.39
315 1324.07
320 1366.75
325 1409.43
330 1452.11
335 1494.79
340 1537.48
345 1067.89
350 1100.84
355 1133.79
360 1166.75
365 1199.7
370 1232.65
375 1265.6
380 1298.55
385 906.448
390 931.887
395 957.325
400 982.763
405 1008.2
410 1033.64
415 1059.08
420 1084.52
425 763.469
430 783.108
435 802.747
440 822.385
445 842.024
450 861.663
455 881.302
460 900.94
465 641.945
470 657.106
475 672.268
480 687.429
485 702.591
490 717.752
495 732.914
500 748.075
505 541.576
510 553.281
515 564.986
520 576.691
525 588.395
530 600.1
535 611.805
540 623.51
545 460.455
550 469.491
555 478.528
560 487.564
565 496.601
570 505.637
575 514.673
580 523.71
585 396.039
590 403.015
595 409.991
600 416.968
605 423.944
610 430.92
615 437.896
620 444.873
625 345.68
630 351.066
635 356.452
640 361.837
645 367.223
650 372.609
655 377.995
660 383.38
665 306.898
670 311.055
675 315.213
680 319.371
685 323.529
690 327.687
695 331.845
700 336.003
705 277.499
710 280.709
715 283.919
720 287.129
725 290.338
730 293.548
735 296.758
740 299.968
745 255.613
750 258.091
755 260.569
760 263.048
765 265.526
770 268.004
775 270.482
780 272.96
785 239.685
790 241.598
795 243.511
800 245.424
805 247.337
810 249.251
815 251.164
820 253.077
825 228.441
830 229.918
835 231.395
840 232.872
845 234.349
850 235.826
855 237.303
860 238.78
865 220.853
870 221.993
875 223.134
880 224.274
885 225.414
890 226.554
895 227.695
900 228.835
905 216.1
910 216.98
915 217.86
920 218.741
925 219.621
930 220.501
935 221.382
940 222.262
945 213.528
950 214.208
955 214.887
960 215.567
965 216.247
970 216.926
975 217.606
980 218.285
985 212.623
990 213.148
995 213.673
1000 214.197
