X, N
0 0
5 89.4826
10 203.972
15 322.817
20 438.929
25 549.107
30 652.03
35 747.463
40 836.265
45 922.334
50 1000.92
55 1072.05
60 1136.65
65 1202.43
70 1261
75 1312.46
80 1357.7
85 1407.14
90 1449.68
95 1485.36
100 1515.19
105 1551.5
110 1581.2
115 1604.31
120 1621.85
125 1647.57
130 1666.96
135 1680.02
140 1687.78
145 1704.89
150 1715.95
155 1720.95
160 1720.93
165 1730.96
170 1735.22
175 1733.7
180 1727.43
185 1731.54
190 1730.18
195 1723.32
200 1711.89
205 1710.96
210 1704.84
215 1693.38
220 1677.59
225 1672.15
230 1661.66
235 1645.99
240 1626.08
245 1615.86
250 1600.52
255 1580.14
260 1555.84
265 1541.06
270 1521.84
275 1498.28
280 1471.45
285 1453.84
290 1432.38
295 1407.18
300 1379.31
305 1360.13
310 1337.63
315 1311.93
320 1284.06
325 1264.26
330 1241.59
335 1216.19
340 1189.06
345 1169.31
350 1147.08
355 1122.53
360 1096.65
365 1077.41
370 1056.05
375 1032.71
380 1008.4
385 989.992
390 969.762
395 947.875
400 925.314
405 907.944
410 889.01
415 868.696
420 847.974
425 831.755
430 814.201
435 795.509
440 776.641
445 761.625
450 745.474
455 728.398
460 711.351
465 697.545
470 682.78
475 667.277
480 651.979
485 639.359
490 625.933
495 611.933
500 598.293
505 586.813
510 574.66
515 562.077
520 549.989
525 539.588
530 528.632
535 517.37
540 506.722
545 497.331
550 487.487
555 477.448
560 468.125
565 459.67
570 450.852
575 441.935
580 433.824
585 426.231
590 418.353
595 410.461
600 403.452
605 396.648
610 389.626
615 382.664
620 376.654
625 370.566
630 364.322
635 358.201
640 353.09
645 347.652
650 342.11
655 336.747
660 332.445
665 327.593
670 322.683
675 318.001
680 314.423
685 310.098
690 305.754
695 301.682
700 298.751
705 294.899
710 291.062
715 287.534
720 285.18
725 281.75
730 278.367
735 275.324
740 273.483
745 270.43
750 267.45
755 264.839
760 263.452
765 260.734
770 258.113
775 255.885
780 254.901
785 252.481
790 250.178
795 248.289
800 247.661
805 245.505
810 243.484
815 241.896
820 241.581
825 239.66
830 237.888
835 236.565
840 236.526
845 234.812
850 233.26
855 232.17
860 232.374
865 230.843
870 229.485
875 228.601
880 229.017
885 227.647
890 226.461
895 225.757
900 226.36
905 225.131
910 224.095
915 223.551
920 224.315
925 223.212
930 222.308
935 221.902
940 222.808
945 221.814
950 221.026
955 220.741
960 221.77
965 220.872
970 220.185
975 220.006
980 221.142
985 220.328
990 219.729
995 219.643
1000 220.871
