X, N
0 0
5 92.0469
10 203.973
15 336.899
20 439.499
25 575.391
30 651.683
35 785.777
40 842.546
45 974.055
50 1003.3
55 1132.22
60 1149.74
65 1275.77
70 1266.67
75 1389.96
80 1376.59
85 1497.08
90 1458.11
95 1575.78
100 1538.6
105 1653.54
110 1591.8
115 1703.86
120 1648.6
125 1757.96
130 1679.19
135 1785.61
140 1716.79
145 1820.46
150 1729.25
155 1829.96
160 1751.27
165 1849.17
170 1749.17
175 1844.06
180 1758.34
185 1850.3
190 1744.4
195 1833.27
200 1742.77
205 1828.5
210 1718.94
215 1801.48
220 1707.96
225 1787.15
230 1675.49
235 1751.08
240 1655.39
245 1727
250 1613.8
255 1680.92
260 1583.89
265 1646.81
270 1534.54
275 1593.52
280 1497.91
285 1553.19
290 1444.34
295 1496.16
300 1403.9
305 1452.48
310 1348.74
315 1394.27
320 1306.65
325 1349.33
330 1251.76
335 1291.77
340 1209.57
345 1247.07
350 1156.29
355 1191.44
360 1115.09
365 1148.04
370 1064.29
375 1095.18
380 1024.83
385 1053.78
390 977.074
395 1004.21
400 939.816
405 965.255
410 895.427
415 919.272
420 860.66
425 883.011
430 819.773
435 840.724
440 787.631
445 807.269
450 750.258
455 768.666
460 720.771
465 738.027
470 686.834
475 703.009
480 659.959
485 675.121
490 629.318
495 643.53
500 604.959
505 618.28
510 577.434
515 589.921
520 555.461
525 567.166
530 530.85
535 541.822
540 511.115
545 521.4
550 489.204
555 498.844
560 471.546
565 480.582
570 452.117
575 460.587
580 436.372
585 444.312
590 419.213
595 426.655
600 405.22
605 412.196
610 390.123
615 396.663
620 377.724
625 383.854
630 364.495
635 370.241
640 353.54
645 358.926
650 341.995
655 347.044
660 332.344
665 337.076
670 322.312
675 326.748
680 313.833
685 317.991
690 305.158
695 309.055
700 297.729
705 301.383
710 290.266
715 293.69
720 283.777
725 286.987
730 277.394
735 280.402
740 271.744
745 274.564
750 266.321
755 268.965
760 261.417
765 263.895
770 256.848
775 259.171
780 252.606
785 254.784
790 248.793
795 250.834
800 245.139
805 247.052
810 241.995
815 243.788
820 238.861
825 240.542
830 236.308
835 237.883
840 233.633
845 235.11
850 231.6
855 232.985
860 229.331
865 230.628
870 227.757
875 228.973
880 225.844
885 226.984
890 224.673
895 225.742
900 223.073
905 224.075
910 222.256
915 223.195
920 220.932
925 221.812
930 220.424
935 221.25
940 219.341
945 220.115
950 219.105
955 219.83
960 218.232
965 218.912
970 218.232
975 218.869
980 217.544
985 218.141
990 217.75
995 218.31
1000 217.222
